# Forces      
# CofR        : (0.000000e+00 0.000000e+00 0.000000e+00)
# Time        forces(pressure viscous porous)	moments(pressure viscous porous)
0.005         	((1.610996e+01 4.304029e-07 -3.715129e-19) (2.737933e-01 1.711760e-09 2.179748e-20) (0.000000e+00 0.000000e+00 0.000000e+00)) ((2.384552e-19 -2.795915e-18 6.537390e-15) (-9.001020e-20 -2.559065e-20 -5.158598e-11) (0.000000e+00 0.000000e+00 0.000000e+00))
0.01          	((1.099069e-01 -5.248724e-07 1.515676e-20) (2.235300e-01 6.243367e-10 -8.625374e-22) (0.000000e+00 0.000000e+00 0.000000e+00)) ((3.058708e-21 -1.595275e-20 -2.602637e-15) (-8.683103e-22 -3.419411e-20 -1.587891e-09) (0.000000e+00 0.000000e+00 0.000000e+00))
0.015         	((2.098256e-01 8.918066e-08 8.096591e-21) (1.899194e-01 6.225103e-10 -4.853113e-22) (0.000000e+00 0.000000e+00 0.000000e+00)) ((3.339472e-21 -3.453172e-20 1.747482e-15) (-1.311664e-21 -2.895591e-20 -1.377286e-09) (0.000000e+00 0.000000e+00 0.000000e+00))
0.02          	((1.708790e-01 1.556878e-08 9.724745e-21) (1.660298e-01 6.243879e-10 -5.705258e-22) (0.000000e+00 0.000000e+00 0.000000e+00)) ((2.630920e-21 -2.798714e-20 -8.592539e-16) (-1.113044e-21 -2.533515e-20 -1.869919e-09) (0.000000e+00 0.000000e+00 0.000000e+00))
0.025         	((1.553605e-01 1.509565e-08 1.063480e-20) (1.473285e-01 4.898328e-10 -6.158638e-22) (0.000000e+00 0.000000e+00 0.000000e+00)) ((2.336389e-21 -2.548365e-20 -4.332550e-16) (-1.011296e-21 -2.247672e-20 -2.183454e-09) (0.000000e+00 0.000000e+00 0.000000e+00))
0.03          	((1.413273e-01 1.178604e-08 1.136613e-20) (1.323471e-01 3.510936e-10 -6.535625e-22) (0.000000e+00 0.000000e+00 0.000000e+00)) ((2.082225e-21 -2.318361e-20 7.253143e-17) (-9.193146e-22 -2.018725e-20 -2.327092e-09) (0.000000e+00 0.000000e+00 0.000000e+00))
0.035         	((1.292063e-01 2.295612e-08 1.194326e-20) (1.201916e-01 3.125753e-10 -6.834399e-22) (0.000000e+00 0.000000e+00 0.000000e+00)) ((1.869535e-21 -2.118304e-20 4.353290e-16) (-8.398061e-22 -1.832965e-20 -2.330136e-09) (0.000000e+00 0.000000e+00 0.000000e+00))
0.04          	((1.188942e-01 2.837131e-08 1.240019e-20) (1.102213e-01 3.255065e-10 -7.068804e-22) (0.000000e+00 0.000000e+00 0.000000e+00)) ((1.690253e-21 -1.947471e-20 5.953381e-16) (-7.718726e-22 -1.680605e-20 -2.221573e-09) (0.000000e+00 0.000000e+00 0.000000e+00))
0.045         	((1.101553e-01 3.146995e-08 1.276336e-20) (1.019616e-01 3.563767e-10 -7.250830e-22) (0.000000e+00 0.000000e+00 0.000000e+00)) ((1.539100e-21 -1.802387e-20 7.472805e-16) (-7.140563e-22 -1.554394e-20 -2.030958e-09) (0.000000e+00 0.000000e+00 0.000000e+00))
0.05          	((1.027394e-01 3.068475e-08 1.305300e-20) (9.505349e-02 3.892063e-10 -7.390385e-22) (0.000000e+00 0.000000e+00 0.000000e+00)) ((1.411170e-21 -1.679112e-20 7.269350e-16) (-6.648168e-22 -1.448850e-20 -1.786093e-09) (0.000000e+00 0.000000e+00 0.000000e+00))
